line,text
2010,"ate_linear,20000007,static_ate,Random forest g-computation,-1.2480458109199863,-0.7952501236997188,-0.7952501236997188,True,,,,,,,0.45279568722026753,-1.5838114961804999,-0.00668875121893775,1.0,1.5771227449615621"
2011,"ate_linear,20000007,static_ate,Spline g-computation,-1.2480458109199863,-1.1878979206085205,-1.1878979206085205,True,,,,,,,0.060147890311465835,-1.5360157754344208,-0.8397800657826202,1.0,0.6962357096518006"
2012,"ate_linear,20000007,static_ate,Interaction g-computation,-1.2480458109199863,-1.2147138118743896,-1.2147138118743896,True,,,,,,,0.033331999045596694,-1.5437545488204725,-0.8856730749283068,1.0,0.6580814738921656"
2013,"ate_linear,20000007,static_ate,AIPW,-1.2480458109199863,-0.853131890296936,-0.853131890296936,True,,,,,,,0.3949139206230503,-1.9185227997661074,0.21225901917223533,1.0,2.1307818189383427"
2014,"ate_linear,20000008,static_ate,CWFM-Revised,-0.7273852167112221,-0.8226368427276611,-0.8226368427276611,True,,,,,,,0.095251626016439,-1.1003691847279202,-0.544904500727402,1.0,0.5554646840005182"
2015,"ate_linear,20000008,static_ate,CWFM-Compiled,-0.7273852167112221,-0.8226368427276611,-0.8226368427276611,True,,,,,,,0.095251626016439,-1.1858875257314268,-0.4593861597238955,1.0,0.7265013660075312"
2016,"ate_linear,20000008,static_ate,Linear g-computation,-0.7273852167112221,-0.9170139677613239,-0.9170139677613239,True,,,,,,,0.1896287510501018,-1.2500060815727119,-0.584021853949936,1.0,0.6659842276227759"
2017,"ate_linear,20000008,static_ate,Random forest g-computation,-0.7273852167112221,-0.41733670393532224,-0.41733670393532224,True,,,,,,,0.3100485127758999,-1.2058980764161034,0.3712246685454588,1.0,1.5771227449615621"
2018,"ate_linear,20000008,static_ate,Spline g-computation,-0.7273852167112221,-0.9150883555412292,-0.9150883555412292,True,,,,,,,0.1877031388300071,-1.2632062103671295,-0.566970500715329,1.0,0.6962357096518006"
2019,"ate_linear,20000008,static_ate,Interaction g-computation,-0.7273852167112221,-0.9071288108825684,-0.9071288108825684,True,,,,,,,0.17974359417134622,-1.2361695478286512,-0.5780880739364855,1.0,0.6580814738921656"
2020,"ate_linear,20000008,static_ate,AIPW,-0.7273852167112221,0.030064983293414116,0.030064983293414116,True,,,,,,,0.7574502000046363,-1.0353259261757572,1.0954558927625855,1.0,2.1307818189383427"
2021,"ate_linear,20000009,static_ate,CWFM-Revised,1.1771525024044343,1.4986416101455688,1.4986416101455688,True,,,,,,,0.3214891077411346,1.0586503365667643,1.9386328837243734,1.0,0.8799825471576092"
2022,"ate_linear,20000009,static_ate,CWFM-Compiled,1.1771525024044343,1.4986416101455688,1.4986416101455688,True,,,,,,,0.3214891077411346,1.1353909271418032,1.8618922931493345,1.0,0.7265013660075312"
2023,"ate_linear,20000009,static_ate,Linear g-computation,1.1771525024044343,1.4556016201448645,1.4556016201448645,True,,,,,,,0.27844911774043024,1.1226095063334767,1.7885937339562523,1.0,0.6659842276227759"
2024,"ate_linear,20000009,static_ate,Random forest g-computation,1.1771525024044343,0.8270564856292658,0.8270564856292658,True,,,,,,,0.35009601677516844,0.03849511314848475,1.6156178581100469,1.0,1.5771227449615621"
2025,"ate_linear,20000009,static_ate,Spline g-computation,1.1771525024044343,1.5275578498840332,1.5275578498840332,True,,,,,,,0.35040534747959895,1.179439995058133,1.8756757047099335,0.0,0.6962357096518006"
2026,"ate_linear,20000009,static_ate,Interaction g-computation,1.1771525024044343,1.5447150468826294,1.5447150468826294,True,,,,,,,0.36756254447819514,1.2156743099365466,1.8737557838287122,0.0,0.6580814738921656"
2027,"ate_linear,20000009,static_ate,AIPW,1.1771525024044343,1.4655404090881348,1.4655404090881348,True,,,,,,,0.2883879066837005,0.4001494996189634,2.530931318557306,1.0,2.1307818189383427"
2028,"ate_linear,20000010,static_ate,CWFM-Revised,-1.297732520314866,-1.3696681261062622,-1.3696681261062622,True,,,,,,,0.07193560579139624,-1.849750543618212,-0.8895857085943123,1.0,0.9601648350238998"
2029,"ate_linear,20000010,static_ate,CWFM-Compiled,-1.297732520314866,-1.3696681261062622,-1.3696681261062622,True,,,,,,,0.07193560579139624,-1.7329188091100278,-1.0064174431024966,1.0,0.7265013660075312"
2030,"ate_linear,20000010,static_ate,Linear g-computation,-1.297732520314866,-1.3367641153923446,-1.3367641153923446,True,,,,,,,0.039031595077478665,-1.6697562292037325,-1.0037720015809568,1.0,0.6659842276227759"
2031,"ate_linear,20000010,static_ate,Random forest g-computation,-1.297732520314866,-1.320155670512036,-1.320155670512036,True,,,,,,,0.022423150197170116,-2.1087170429928173,-0.531594298031255,1.0,1.5771227449615621"
2032,"ate_linear,20000010,static_ate,Spline g-computation,-1.297732520314866,-1.4402507543563843,-1.4402507543563843,True,,,,,,,0.1425182340415183,-1.7883686091822846,-1.092132899530484,1.0,0.6962357096518006"
2033,"ate_linear,20000010,static_ate,Interaction g-computation,-1.297732520314866,-1.4160075187683105,-1.4160075187683105,True,,,,,,,0.11827499845344458,-1.7450482557143934,-1.0869667818222277,1.0,0.6580814738921656"
2034,"ate_linear,20000010,static_ate,AIPW,-1.297732520314866,-0.9340563416481018,-0.9340563416481018,True,,,,,,,0.36367617866676416,-1.9994472511172732,0.13133456782106956,1.0,2.1307818189383427"
2035,"ate_linear,20000011,static_ate,CWFM-Revised,1.0267257185674878,1.2014421224594116,1.2014421224594116,True,,,,,,,0.17471640389192378,0.6915294307468915,1.7113548141719317,1.0,1.0198253834250401"
2036,"ate_linear,20000011,static_ate,CWFM-Compiled,1.0267257185674878,1.2014421224594116,1.2014421224594116,True,,,,,,,0.17471640389192378,0.838191439455646,1.5646928054631772,1.0,0.7265013660075312"
2037,"ate_linear,20000011,static_ate,Linear g-computation,1.0267257185674878,1.2354523569038116,1.2354523569038116,True,,,,,,,0.20872663833632377,0.9024602430924237,1.5684444707151997,1.0,0.6659842276227759"
2038,"ate_linear,20000011,static_ate,Random forest g-computation,1.0267257185674878,1.0402945515781095,1.0402945515781095,True,,,,,,,0.013568833010621617,0.2517331790973284,1.8288559240588906,1.0,1.5771227449615621"
2039,"ate_linear,20000011,static_ate,Spline g-computation,1.0267257185674878,1.1686582565307617,1.1686582565307617,True,,,,,,,0.14193253796327387,0.8205404017048614,1.516776111356662,1.0,0.6962357096518006"
2040,"ate_linear,20000011,static_ate,Interaction g-computation,1.0267257185674878,1.2461519241333008,1.2461519241333008,True,,,,,,,0.21942620556581294,0.917111187187218,1.5751926610793836,1.0,0.6580814738921656"
2041,"ate_linear,20000011,static_ate,AIPW,1.0267257185674878,1.228367805480957,1.228367805480957,True,,,,,,,0.2016420869134692,0.16297689601178567,2.2937587149501284,1.0,2.1307818189383427"
2042,"ate_linear,20000012,static_ate,CWFM-Revised,1.4897268784677415,1.3003005981445312,1.3003005981445312,True,,,,,,,0.1894262803232103,0.8197126064664129,1.7808885898226496,1.0,0.9611759833562368"
2043,"ate_linear,20000012,static_ate,CWFM-Compiled,1.4897268784677415,1.3003004789352417,1.3003004789352417,True,,,,,,,0.18942639953249985,0.9370497959314761,1.6635511619390073,1.0,0.7265013660075312"
2044,"ate_linear,20000012,static_ate,Linear g-computation,1.4897268784677415,1.3471379090152418,1.3471379090152418,True,,,,,,,0.14258896945249977,1.014145795203854,1.6801300228266296,1.0,0.6659842276227759"
2045,"ate_linear,20000012,static_ate,Random forest g-computation,1.4897268784677415,0.5087462822481904,0.5087462822481904,True,,,,,,,0.9809805962195511,-0.27981509023259066,1.2973076547289715,0.0,1.5771227449615621"
2046,"ate_linear,20000012,static_ate,Spline g-computation,1.4897268784677415,1.3824684619903564,1.3824684619903564,True,,,,,,,0.1072584164773851,1.0343506071644561,1.7305863168162567,1.0,0.6962357096518006"
2047,"ate_linear,20000012,static_ate,Interaction g-computation,1.4897268784677415,1.3243318796157837,1.3243318796157837,True,,,,,,,0.16539499885195785,0.9952911426697009,1.6533726165618665,1.0,0.6580814738921656"
2048,"ate_linear,20000012,static_ate,AIPW,1.4897268784677415,1.124085783958435,1.124085783958435,True,,,,,,,0.3656410945093065,0.05869487448926369,2.1894766934276064,1.0,2.1307818189383427"
2049,"ate_linear,20000013,static_ate,CWFM-Revised,1.1242578967527883,0.8763013482093811,0.8763013482093811,True,,,,,,,0.2479565485434072,0.5626935214204045,1.1899091749983577,1.0,0.6272156535779531"
2050,"ate_linear,20000013,static_ate,CWFM-Compiled,1.1242578967527883,0.8763013482093811,0.8763013482093811,True,,,,,,,0.2479565485434072,0.5130506652056155,1.2395520312131467,1.0,0.7265013660075312"
2051,"ate_linear,20000013,static_ate,Linear g-computation,1.1242578967527883,0.992248729882267,0.992248729882267,True,,,,,,,0.13200916687052133,0.659256616070879,1.325240843693655,1.0,0.6659842276227759"
2052,"ate_linear,20000013,static_ate,Random forest g-computation,1.1242578967527883,0.5779281849422472,0.5779281849422472,True,,,,,,,0.5463297118105411,-0.21063318753853388,1.3664895574230282,1.0,1.5771227449615621"
2053,"ate_linear,20000013,static_ate,Spline g-computation,1.1242578967527883,0.9770467877388,0.9770467877388,True,,,,,,,0.14721110901398826,0.6289289329128998,1.3251646425647003,1.0,0.6962357096518006"
2054,"ate_linear,20000013,static_ate,Interaction g-computation,1.1242578967527883,0.9430916905403137,0.9430916905403137,True,,,,,,,0.1811662062124746,0.6140509535942309,1.2721324274863965,1.0,0.6580814738921656"
2055,"ate_linear,20000013,static_ate,AIPW,1.1242578967527883,0.33032047748565674,0.33032047748565674,True,,,,,,,0.7939374192671316,-0.7350704319835146,1.395711386954828,1.0,2.1307818189383427"
2056,"ate_linear,20000014,static_ate,CWFM-Revised,1.2568556373102167,1.405259370803833,1.405259370803833,True,,,,,,,0.14840373349361635,1.0387049223103224,1.7718138192973436,1.0,0.7331088969870214"
2057,"ate_linear,20000014,static_ate,CWFM-Compiled,1.2568556373102167,1.4052594900131226,1.4052594900131226,True,,,,,,,0.1484038527029059,1.042008807009357,1.7685101730168882,1.0,0.7265013660075312"
2058,"ate_linear,20000014,static_ate,Linear g-computation,1.2568556373102167,1.445639017411391,1.445639017411391,True,,,,,,,0.18878338010117424,1.112646903600003,1.7786311312227787,1.0,0.6659842276227759"
2059,"ate_linear,20000014,static_ate,Random forest g-computation,1.2568556373102167,0.6890637719705066,0.6890637719705066,True,,,,,,,0.56779186533971,-0.09949760051027445,1.4776251444512876,1.0,1.5771227449615621"
2060,"ate_linear,20000014,static_ate,Spline g-computation,1.2568556373102167,1.513340950012207,1.513340950012207,True,,,,,,,0.2564853127019904,1.1652230951863067,1.8614588048381073,1.0,0.6962357096518006"
2061,"ate_linear,20000014,static_ate,Interaction g-computation,1.2568556373102167,1.468217372894287,1.468217372894287,True,,,,,,,0.21136173558407045,1.1391766359482043,1.79725810984037,1.0,0.6580814738921656"
2062,"ate_linear,20000014,static_ate,AIPW,1.2568556373102167,1.0409547090530396,1.0409547090530396,True,,,,,,,0.2159009282571771,-0.024436200416131815,2.106345618522211,1.0,2.1307818189383427"
2063,"ate_linear,20000015,static_ate,CWFM-Revised,0.9641421285392263,1.1390752792358398,1.1390752792358398,True,,,,,,,0.17493315069661353,0.42218692424775006,1.8559636342239296,1.0,1.4337767099761796"
2064,"ate_linear,20000015,static_ate,CWFM-Compiled,0.9641421285392263,1.1390752792358398,1.1390752792358398,True,,,,,,,0.17493315069661353,0.7758245962320742,1.5023259622396055,1.0,0.7265013660075312"
2065,"ate_linear,20000015,static_ate,Linear g-computation,0.9641421285392263,1.1059835397541524,1.1059835397541524,True,,,,,,,0.1418414112149261,0.7729914259427645,1.4389756535655405,1.0,0.6659842276227759"
2066,"ate_linear,20000015,static_ate,Random forest g-computation,0.9641421285392263,0.2162201043011218,0.2162201043011218,True,,,,,,,0.7479220242381045,-0.5723412681796592,1.0047814767819028,1.0,1.5771227449615621"
2067,"ate_linear,20000015,static_ate,Spline g-computation,0.9641421285392263,1.0696700811386108,1.0696700811386108,True,,,,,,,0.10552795259938452,0.7215522263127105,1.4177879359645111,1.0,0.6962357096518006"
2068,"ate_linear,20000015,static_ate,Interaction g-computation,0.9641421285392263,1.0966734886169434,1.0966734886169434,True,,,,,,,0.13253136007771704,0.7676327516708605,1.4257142255630262,1.0,0.6580814738921656"
2069,"ate_linear,20000015,static_ate,AIPW,0.9641421285392263,1.2238181829452515,1.2238181829452515,True,,,,,,,0.25967605440602515,0.1584272734760801,2.289209092414423,1.0,2.1307818189383427"
2070,"ate_linear,20000016,static_ate,CWFM-Revised,-0.10488957563439172,-0.45469388365745544,-0.45469388365745544,True,,,,,,,0.3498043080230637,-0.840167008494,-0.06922075882091094,1.0,0.770946249673089"
2071,"ate_linear,20000016,static_ate,CWFM-Compiled,-0.10488957563439172,-0.45469388365745544,-0.45469388365745544,True,,,,,,,0.3498043080230637,-0.8179445666612211,-0.09144320065368983,1.0,0.7265013660075312"
2072,"ate_linear,20000016,static_ate,Linear g-computation,-0.10488957563439172,-0.39695627846331294,-0.39695627846331294,True,,,,,,,0.2920667028289212,-0.7299483922747009,-0.063964164651925,1.0,0.6659842276227759"
2073,"ate_linear,20000016,static_ate,Random forest g-computation,-0.10488957563439172,-0.04048745178948233,-0.04048745178948233,True,,,,,,,0.0644021238449094,-0.8290488242702634,0.7480739206912987,1.0,1.5771227449615621"
2074,"ate_linear,20000016,static_ate,Spline g-computation,-0.10488957563439172,-0.5259299874305725,-0.5259299874305725,True,,,,,,,0.4210404117961808,-0.8740478422564728,-0.1778121326046722,0.0,0.6962357096518006"
2075,"ate_linear,20000016,static_ate,Interaction g-computation,-0.10488957563439172,-0.5390117168426514,-0.5390117168426514,True,,,,,,,0.43412214120825965,-0.8680524537887342,-0.20997097989656854,0.0,0.6580814738921656"
2076,"ate_linear,20000016,static_ate,AIPW,-0.10488957563439172,-0.34059852361679077,-0.34059852361679077,True,,,,,,,0.23570894798239905,-1.4059894330859621,0.7247923858523806,1.0,2.1307818189383427"
2077,"ate_linear,20000017,static_ate,CWFM-Revised,1.1965007917819879,1.3654874563217163,1.3654874563217163,True,,,,,,,0.16898666453972844,1.056574527407454,1.6744003852359786,1.0,0.6178258578285244"
2078,"ate_linear,20000017,static_ate,CWFM-Compiled,1.1965007917819879,1.3654874563217163,1.3654874563217163,True,,,,,,,0.16898666453972844,1.0022367733179507,1.728738139325482,1.0,0.7265013660075312"
2079,"ate_linear,20000017,static_ate,Linear g-computation,1.1965007917819879,1.3677177029659233,1.3677177029659233,True,,,,,,,0.17121691118393545,1.0347255891545353,1.7007098167773114,1.0,0.6659842276227759"
2080,"ate_linear,20000017,static_ate,Random forest g-computation,1.1965007917819879,0.9952221142737901,0.9952221142737901,True,,,,,,,0.20127867750819772,0.20666074179300908,1.7837834867545712,1.0,1.5771227449615621"
2081,"ate_linear,20000017,static_ate,Spline g-computation,1.1965007917819879,1.387203574180603,1.387203574180603,True,,,,,,,0.19070278239861516,1.0390857193547027,1.7353214290065033,1.0,0.6962357096518006"
2082,"ate_linear,20000017,static_ate,Interaction g-computation,1.1965007917819879,1.4289191961288452,1.4289191961288452,True,,,,,,,0.23241840434685734,1.0998784591827624,1.757959933074928,1.0,0.6580814738921656"
2083,"ate_linear,20000017,static_ate,AIPW,1.1965007917819879,0.9501347541809082,0.9501347541809082,True,,,,,,,0.24636603760107967,-0.11525615528826316,2.0155256636500796,1.0,2.1307818189383427"
2084,"ate_linear,20000018,static_ate,CWFM-Revised,0.9764400862697703,0.8306432962417603,0.8306432962417603,True,,,,,,,0.14579679002801005,0.3928829762401456,1.268403616243375,1.0,0.8755206400032293"
2085,"ate_linear,20000018,static_ate,CWFM-Compiled,0.9764400862697703,0.8306432962417603,0.8306432962417603,True,,,,,,,0.14579679002801005,0.46739261323799464,1.1938939792455259,1.0,0.7265013660075312"
2086,"ate_linear,20000018,static_ate,Linear g-computation,0.9764400862697703,0.7816691731582438,0.7816691731582438,True,,,,,,,0.1947709131115265,0.44867705934685587,1.1146612869696317,1.0,0.6659842276227759"
2087,"ate_linear,20000018,static_ate,Random forest g-computation,0.9764400862697703,0.5892384102452778,0.5892384102452778,True,,,,,,,0.3872016760244925,-0.19932296223550328,1.3777997827260589,1.0,1.5771227449615621"
2088,"ate_linear,20000018,static_ate,Spline g-computation,0.9764400862697703,0.8409091830253601,0.8409091830253601,True,,,,,,,0.1355309032444102,0.4927913281994598,1.1890270378512604,1.0,0.6962357096518006"
2089,"ate_linear,20000018,static_ate,Interaction g-computation,0.9764400862697703,0.8250428438186646,0.8250428438186646,True,,,,,,,0.15139724245110575,0.4960021068725817,1.1540835807647474,1.0,0.6580814738921656"
2090,"ate_linear,20000018,static_ate,AIPW,0.9764400862697703,1.353441596031189,1.353441596031189,True,,,,,,,0.37700150976141866,0.2880506865620176,2.4188325055003603,1.0,2.1307818189383427"
2091,"ate_linear,20000019,static_ate,CWFM-Revised,0.7393593714332791,0.4567570090293884,0.4567570090293884,True,,,,,,,0.2826023624038907,-0.02284559007424386,0.9363596081330208,1.0,0.9592051982072646"
2092,"ate_linear,20000019,static_ate,CWFM-Compiled,0.7393593714332791,0.4567570090293884,0.4567570090293884,True,,,,,,,0.2826023624038907,0.09350632602562281,0.820007692033154,1.0,0.7265013660075312"
2093,"ate_linear,20000019,static_ate,Linear g-computation,0.7393593714332791,0.532291818086117,0.532291818086117,True,,,,,,,0.2070675533471621,0.1992997042747291,0.865283931897505,1.0,0.6659842276227759"
2094,"ate_linear,20000019,static_ate,Random forest g-computation,0.7393593714332791,0.0664049726552426,0.0664049726552426,True,,,,,,,0.6729543987780365,-0.7221563998255385,0.8549663451360237,1.0,1.5771227449615621"
2095,"ate_linear,20000019,static_ate,Spline g-computation,0.7393593714332791,0.5305388569831848,0.5305388569831848,True,,,,,,,0.2088205144500943,0.18242100215728452,0.8786567118090851,1.0,0.6962357096518006"
2096,"ate_linear,20000019,static_ate,Interaction g-computation,0.7393593714332791,0.5340008735656738,0.5340008735656738,True,,,,,,,0.2053584978676053,0.204960136619591,0.8630416105117567,1.0,0.6580814738921656"
2097,"ate_linear,20000019,static_ate,AIPW,0.7393593714332791,-0.197844460606575,-0.197844460606575,True,,,,,,,0.9372038320398541,-1.2632353700757464,0.8675464488625964,1.0,2.1307818189383427"
2098,"ate_linear,20000020,static_ate,CWFM-Revised,-1.3161253312117835,-1.5602071285247803,-1.5602071285247803,True,,,,,,,0.24408179731299673,-1.951306506716646,-1.1691077503329146,1.0,0.7821987563837314"
2099,"ate_linear,20000020,static_ate,CWFM-Compiled,-1.3161253312117835,-1.5602071285247803,-1.5602071285247803,True,,,,,,,0.24408179731299673,-1.923457811528546,-1.1969564455210147,1.0,0.7265013660075312"
2100,"ate_linear,20000020,static_ate,Linear g-computation,-1.3161253312117835,-1.5146954852854668,-1.5146954852854668,True,,,,,,,0.19857015407368328,-1.8476875990968549,-1.1817033714740788,1.0,0.6659842276227759"
2101,"ate_linear,20000020,static_ate,Random forest g-computation,-1.3161253312117835,-1.4184883720098025,-1.4184883720098025,True,,,,,,,0.10236304079801894,-2.2070497444905834,-0.6299269995290214,1.0,1.5771227449615621"
2102,"ate_linear,20000020,static_ate,Spline g-computation,-1.3161253312117835,-1.662943959236145,-1.662943959236145,True,,,,,,,0.3468186280243615,-2.011061814062045,-1.3148261044102447,1.0,0.6962357096518006"
2103,"ate_linear,20000020,static_ate,Interaction g-computation,-1.3161253312117835,-1.6581549644470215,-1.6581549644470215,True,,,,,,,0.34202963323523794,-1.9871957013931043,-1.3291142275009387,0.0,0.6580814738921656"
2104,"ate_linear,20000020,static_ate,AIPW,-1.3161253312117835,-1.2280895709991455,-1.2280895709991455,True,,,,,,,0.08803576021263804,-2.293480480468317,-0.16269866152997414,1.0,2.1307818189383427"
2105,"ate_linear,20000021,static_ate,CWFM-Revised,-1.2420045316754693,-1.3206541538238525,-1.3206541538238525,True,,,,,,,0.07864962214838322,-1.6585382625590248,-0.9827700450886803,1.0,0.6757682174703447"
2106,"ate_linear,20000021,static_ate,CWFM-Compiled,-1.2420045316754693,-1.320654034614563,-1.320654034614563,True,,,,,,,0.07864950293909367,-1.6839047176183286,-0.9574033516107974,1.0,0.7265013660075312"
2107,"ate_linear,20000021,static_ate,Linear g-computation,-1.2420045316754693,-1.3912917402269336,-1.3912917402269336,True,,,,,,,0.14928720855146427,-1.7242838540383216,-1.0582996264155455,1.0,0.6659842276227759"
2108,"ate_linear,20000021,static_ate,Random forest g-computation,-1.2420045316754693,-1.0326709581628581,-1.0326709581628581,True,,,,,,,0.20933357351261117,-1.8212323306436393,-0.24410958568207708,1.0,1.5771227449615621"
2109,"ate_linear,20000021,static_ate,Spline g-computation,-1.2420045316754693,-1.4225444793701172,-1.4225444793701172,True,,,,,,,0.18053994769464787,-1.7706623341960175,-1.074426624544217,1.0,0.6962357096518006"
2110,"ate_linear,20000021,static_ate,Interaction g-computation,-1.2420045316754693,-1.3581740856170654,-1.3581740856170654,True,,,,,,,0.11616955394159612,-1.6872148225631483,-1.0291333486709826,1.0,0.6580814738921656"
2111,"ate_linear,20000021,static_ate,AIPW,-1.2420045316754693,-0.7464021444320679,-0.7464021444320679,True,,,,,,,0.49560238724340144,-1.8117930539012392,0.3189887650371035,1.0,2.1307818189383427"
2112,"ate_linear,20000022,static_ate,CWFM-Revised,0.35423724982817556,0.6983100771903992,0.6983100771903992,True,,,,,,,0.3440728273622236,0.31794035826055694,1.0786797961202415,1.0,0.7607394378596845"
2113,"ate_linear,20000022,static_ate,CWFM-Compiled,0.35423724982817556,0.6983100771903992,0.6983100771903992,True,,,,,,,0.3440728273622236,0.33505939418663355,1.0615607601941648,1.0,0.7265013660075312"
2114,"ate_linear,20000022,static_ate,Linear g-computation,0.35423724982817556,0.6818303806148905,0.6818303806148905,True,,,,,,,0.327593130786715,0.3488382668035026,1.0148224944262785,1.0,0.6659842276227759"
2115,"ate_linear,20000022,static_ate,Random forest g-computation,0.35423724982817556,0.1950903661915937,0.1950903661915937,True,,,,,,,0.15914688363658186,-0.5934710062891874,0.9836517386723748,1.0,1.5771227449615621"
2116,"ate_linear,20000022,static_ate,Spline g-computation,0.35423724982817556,0.6703656315803528,0.6703656315803528,True,,,,,,,0.3161283817521772,0.3222477767544525,1.018483486406253,1.0,0.6962357096518006"
2117,"ate_linear,20000022,static_ate,Interaction g-computation,0.35423724982817556,0.7050300240516663,0.7050300240516663,True,,,,,,,0.3507927742234907,0.37598928710558344,1.034070760997749,0.0,0.6580814738921656"
2118,"ate_linear,20000022,static_ate,AIPW,0.35423724982817556,0.6435444951057434,0.6435444951057434,True,,,,,,,0.28930724527756785,-0.42184641436342796,1.7089354045749148,1.0,2.1307818189383427"
2119,"ate_linear,20000023,static_ate,CWFM-Revised,1.3030525777244855,1.3490562438964844,1.3490562438964844,True,,,,,,,0.046003666171998914,0.9839565589962318,1.714155928796737,1.0,0.7301993698005053"
2120,"ate_linear,20000023,static_ate,CWFM-Compiled,1.3030525777244855,1.3490562438964844,1.3490562438964844,True,,,,,,,0.046003666171998914,0.9858055608927188,1.71230692690025,1.0,0.7265013660075312"
2121,"ate_linear,20000023,static_ate,Linear g-computation,1.3030525777244855,1.3356432784942134,1.3356432784942134,True,,,,,,,0.03259070076972792,1.0026511646828253,1.6686353923056014,1.0,0.6659842276227759"
2122,"ate_linear,20000023,static_ate,Random forest g-computation,1.3030525777244855,1.2619061761178274,1.2619061761178274,True,,,,,,,0.041146401606658056,0.47334480363704634,2.0504675485986086,1.0,1.5771227449615621"
2123,"ate_linear,20000023,static_ate,Spline g-computation,1.3030525777244855,1.4201782941818237,1.4201782941818237,True,,,,,,,0.11712571645733827,1.0720604393559234,1.768296149007724,1.0,0.6962357096518006"
2124,"ate_linear,20000023,static_ate,Interaction g-computation,1.3030525777244855,1.3559114933013916,1.3559114933013916,True,,,,,,,0.05285891557690614,1.0268707563553088,1.6849522302474744,1.0,0.6580814738921656"
2125,"ate_linear,20000023,static_ate,AIPW,1.3030525777244855,1.2237663269042969,1.2237663269042969,True,,,,,,,0.07928625082018859,0.1583754174351255,2.2891572363734682,1.0,2.1307818189383427"
2126,"ate_linear,20000024,static_ate,CWFM-Revised,1.0851981449217192,1.2784883975982666,1.2784883975982666,True,,,,,,,0.19329025267654742,0.8642989133441702,1.692677881852363,1.0,0.8283789685081928"
2127,"ate_linear,20000024,static_ate,CWFM-Compiled,1.0851981449217192,1.2784883975982666,1.2784883975982666,True,,,,,,,0.19329025267654742,0.915237714594501,1.6417390806020322,1.0,0.7265013660075312"
2128,"ate_linear,20000024,static_ate,Linear g-computation,1.0851981449217192,1.2873634036142787,1.2873634036142787,True,,,,,,,0.20216525869255952,0.9543712898028908,1.6203555174256667,1.0,0.6659842276227759"
2129,"ate_linear,20000024,static_ate,Random forest g-computation,1.0851981449217192,0.9880265314060984,0.9880265314060984,True,,,,,,,0.09717161351562076,0.19946515892531735,1.7765879038868795,1.0,1.5771227449615621"
2130,"ate_linear,20000024,static_ate,Spline g-computation,1.0851981449217192,1.3060600757598877,1.3060600757598877,True,,,,,,,0.22086193083816852,0.9579422209339874,1.654177930585788,1.0,0.6962357096518006"
2131,"ate_linear,20000024,static_ate,Interaction g-computation,1.0851981449217192,1.2616357803344727,1.2616357803344727,True,,,,,,,0.17643763541275348,0.9325950433883898,1.5906765172805555,1.0,0.6580814738921656"
2132,"ate_linear,20000024,static_ate,AIPW,1.0851981449217192,1.2074884176254272,1.2074884176254272,True,,,,,,,0.12229027270370807,0.14209750815625588,2.2728793270945986,1.0,2.1307818189383427"
2133,"ate_linear,20000025,static_ate,CWFM-Revised,-0.2607794993263579,-0.2238554209470749,-0.2238554209470749,True,,,,,,,0.03692407837928302,-0.4529048971530743,0.005194055258924524,1.0,0.4580989524119988"
2134,"ate_linear,20000025,static_ate,CWFM-Compiled,-0.2607794993263579,-0.2238554209470749,-0.2238554209470749,True,,,,,,,0.03692407837928302,-0.5871061039508405,0.13939526205669073,1.0,0.7265013660075312"
2135,"ate_linear,20000025,static_ate,Linear g-computation,-0.2607794993263579,-0.25157430750674625,-0.25157430750674625,True,,,,,,,0.009205191819611658,-0.5845664213181342,0.08141780630464168,1.0,0.6659842276227759"
2136,"ate_linear,20000025,static_ate,Random forest g-computation,-0.2607794993263579,-0.03905089555588174,-0.03905089555588174,True,,,,,,,0.22172860377047618,-0.8276122680366628,0.7495104769248994,1.0,1.5771227449615621"
2137,"ate_linear,20000025,static_ate,Spline g-computation,-0.2607794993263579,-0.14179228246212006,-0.14179228246212006,True,,,,,,,0.11898721686423785,-0.48991013728802035,0.20632557236378024,1.0,0.6962357096518006"
2138,"ate_linear,20000025,static_ate,Interaction g-computation,-0.2607794993263579,-0.24498842656612396,-0.24498842656612396,True,,,,,,,0.01579107276023395,-0.5740291635122068,0.08405231037995886,1.0,0.6580814738921656"
2139,"ate_linear,20000025,static_ate,AIPW,-0.2607794993263579,-0.2845866084098816,-0.2845866084098816,True,,,,,,,0.02380710908352368,-1.349977517879053,0.7808043010592898,1.0,2.1307818189383427"
2140,"ate_linear,20000026,static_ate,CWFM-Revised,-0.8126217016998396,-0.6600239276885986,-0.6600239276885986,True,,,,,,,0.15259777401124097,-1.1433727456404894,-0.1766751097367078,1.0,0.9666976359037817"
2141,"ate_linear,20000026,static_ate,CWFM-Compiled,-0.8126217016998396,-0.6600239276885986,-0.6600239276885986,True,,,,,,,0.15259777401124097,-1.0232746106923643,-0.296773244684833,1.0,0.7265013660075312"
2142,"ate_linear,20000026,static_ate,Linear g-computation,-0.8126217016998396,-0.6931304486515049,-0.6931304486515049,True,,,,,,,0.11949125304833474,-1.0261225624628927,-0.3601383348401169,1.0,0.6659842276227759"
